	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
270	Landry Shamet	PHX	PHX @ LAC	10/23/2022	W	13	8	2	5	40.0	2	5	40.0	2	2	100	0	1	1	1	1	0	0	1	4	13.7
271	Torrey Craig	PHX	PHX @ LAC	10/23/2022	W	25	8	3	7	42.9	2	5	40.0	0	0	-	3	6	9	2	0	0	0	1	1	21.8
272	Ivica Zubac	LAC	LAC vs. PHX	10/23/2022	L	21	2	1	4	25.0	0	0	-	0	0	-	3	5	8	2	0	0	3	1	-8	11.6
273	Cameron Payne	PHX	PHX @ LAC	10/23/2022	W	15	10	4	11	36.4	1	3	33.3	1	2	50.0	0	1	1	2	1	0	2	0	0	15.2
274	Nicolas Batum	LAC	LAC vs. PHX	10/23/2022	L	14	3	1	3	33.3	1	2	50.0	0	0	-	0	3	3	0	0	0	0	1	-4	6.6
275	Duane Washington Jr.	PHX	PHX @ LAC	10/23/2022	W	1	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	2	0.0
276	Jason Preston	LAC	LAC vs. PHX	10/23/2022	L	3	0	0	1	0.0	0	1	0.0	0	2	0.0	0	0	0	0	0	0	0	0	-2	0.0
277	Brandon Boston	LAC	LAC vs. PHX	10/23/2022	L	3	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-2	0.0
278	Cameron Johnson	PHX	PHX @ LAC	10/23/2022	W	23	11	4	6	66.7	3	4	75.0	0	0	-	1	4	5	2	1	0	0	4	13	23.0
279	Moses Brown	LAC	LAC vs. PHX	10/23/2022	L	3	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	1	-2	2.0
280	Terance Mann	LAC	LAC vs. PHX	10/23/2022	L	9	9	4	5	80.0	1	2	50.0	0	0	-	1	1	2	0	0	0	0	2	-8	11.4
281	Chris Paul	PHX	PHX @ LAC	10/23/2022	W	33	7	3	11	27.3	1	8	12.5	0	0	-	3	5	8	11	1	1	2	2	15	37.1
282	John Wall	LAC	LAC vs. PHX	10/23/2022	L	21	17	7	12	58.3	2	4	50.0	1	5	20.0	0	0	0	4	1	0	0	1	-1	26.0
283	Marcus Morris Sr.	LAC	LAC vs. PHX	10/23/2022	L	31	22	10	14	71.4	2	5	40.0	0	0	-	1	4	5	1	1	0	1	1	-10	31.5
284	Reggie Jackson	LAC	LAC vs. PHX	10/23/2022	L	24	0	0	5	0.0	0	2	0.0	0	0	-	0	2	2	2	1	0	0	0	-14	8.4
285	Robert Covington	LAC	LAC vs. PHX	10/23/2022	L	14	3	1	5	20.0	1	4	25.0	0	0	-	1	3	4	0	0	0	0	2	-5	7.8
286	Devin Booker	PHX	PHX @ LAC	10/23/2022	W	35	35	13	21	61.9	5	9	55.6	4	4	100	1	0	1	4	1	0	3	1	13	42.2
287	Norman Powell	LAC	LAC vs. PHX	10/23/2022	L	21	8	4	9	44.4	0	2	0.0	0	0	-	0	3	3	0	2	0	3	2	-17	14.6
288	Damion Lee	PHX	PHX @ LAC	10/23/2022	W	12	2	1	3	33.3	0	2	0.0	0	0	-	0	1	1	1	0	0	0	1	6	4.7
289	Luke Kennard	LAC	LAC vs. PHX	10/23/2022	L	18	2	1	4	25.0	0	1	0.0	0	0	-	0	3	3	0	0	0	3	3	-4	2.6
290	Mikal Bridges	PHX	PHX @ LAC	10/23/2022	W	36	7	3	9	33.3	1	3	33.3	0	0	-	1	3	4	4	0	1	1	3	9	19.8
291	Josh Okogie	PHX	PHX @ LAC	10/23/2022	W	1	2	0	0	-	0	0	-	2	2	100	0	1	1	0	0	0	0	0	2	3.2
292	Deandre Ayton	PHX	PHX @ LAC	10/23/2022	W	29	13	6	11	54.5	0	1	0.0	1	1	100	2	6	8	1	0	1	4	5	7	23.1
293	Jock Landale	PHX	PHX @ LAC	10/23/2022	W	17	9	4	8	50.0	0	2	0.0	1	1	100	2	8	10	1	0	0	0	0	13	22.5
294	Amir Coffey	LAC	LAC vs. PHX	10/23/2022	L	3	0	0	1	0.0	0	0	-	0	0	-	0	0	0	1	1	0	0	0	-2	4.5
295	Terence Davis	SAC	SAC @ GSW	10/23/2022	L	16	7	3	6	50.0	0	2	0.0	1	2	50.0	1	1	2	0	1	0	0	6	-3	12.4
296	Malik Monk	SAC	SAC @ GSW	10/23/2022	L	29	16	6	15	40.0	4	10	40.0	0	0	-	3	4	7	8	3	0	1	0	2	44.4
297	Trey Lyles	SAC	SAC @ GSW	10/23/2022	L	4	2	1	3	33.3	0	2	0.0	0	0	-	0	1	1	1	1	0	1	2	4	6.7
298	Richaun Holmes	SAC	SAC @ GSW	10/23/2022	L	16	15	6	8	75.0	0	0	-	3	4	75.0	3	2	5	0	1	0	3	3	8	21.0
299	Klay Thompson	GSW	GSW vs. SAC	10/23/2022	W	27	8	3	10	30.0	2	7	28.6	0	0	-	0	4	4	3	0	0	1	1	15	16.3
300	Ryan Rollins	GSW	GSW vs. SAC	10/23/2022	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5	0.0
301	KZ Okpala	SAC	SAC @ GSW	10/23/2022	L	4	0	0	1	0.0	0	1	0.0	0	0	-	1	0	1	0	0	0	0	0	-10	1.2
302	Chimezie Metu	SAC	SAC @ GSW	10/23/2022	L	11	4	1	3	33.3	0	1	0.0	2	2	100	0	4	4	1	1	1	0	2	15	16.3
303	Kevin Huerter	SAC	SAC @ GSW	10/23/2022	L	31	9	3	14	21.4	1	8	12.5	2	2	100	0	5	5	4	0	0	2	3	5	19.0
304	Donte DiVincenzo	GSW	GSW vs. SAC	10/23/2022	W	11	4	1	2	50.0	0	1	0.0	2	2	100	0	0	0	1	0	0	2	0	-1	3.5
305	De'Aaron Fox	SAC	SAC @ GSW	10/23/2022	L	36	26	11	20	55.0	1	6	16.7	3	3	100	1	4	5	10	1	0	3	4	-7	47.0
306	Domantas Sabonis	SAC	SAC @ GSW	10/23/2022	L	22	19	6	10	60.0	0	1	0.0	7	8	87.5	3	11	14	4	0	1	1	2	-25	43.8
307	Jordan Poole	GSW	GSW vs. SAC	10/23/2022	W	27	24	7	14	50.0	3	5	60.0	7	9	77.8	0	0	0	4	1	0	1	2	-18	32.0
308	James Wiseman	GSW	GSW vs. SAC	10/23/2022	W	20	14	5	7	71.4	0	0	-	4	6	66.7	0	6	6	3	0	0	2	3	-10	23.7
309	Jonathan Kuminga	GSW	GSW vs. SAC	10/23/2022	W	7	4	1	2	50.0	0	0	-	2	2	100	0	0	0	0	0	0	1	2	-11	3.0
310	Moses Moody	GSW	GSW vs. SAC	10/23/2022	W	18	3	0	1	0.0	0	1	0.0	3	4	75.0	0	1	1	0	0	1	2	1	-8	5.2
311	Davion Mitchell	SAC	SAC @ GSW	10/23/2022	L	12	7	3	5	60.0	1	2	50.0	0	0	-	0	1	1	3	0	0	1	4	2	11.7
312	Andrew Wiggins	GSW	GSW vs. SAC	10/23/2022	W	32	24	10	19	52.6	2	6	33.3	2	3	66.7	1	4	5	1	3	2	0	2	14	46.5
313	Keegan Murray	SAC	SAC @ GSW	10/23/2022	L	38	16	6	14	42.9	4	10	40.0	0	0	-	1	3	4	0	1	0	2	2	2	21.8
314	Kevon Looney	GSW	GSW vs. SAC	10/23/2022	W	25	6	3	4	75.0	0	0	-	0	2	0.0	2	6	8	6	0	1	0	3	18	27.6
315	JaMychal Green	GSW	GSW vs. SAC	10/23/2022	W	13	3	1	2	50.0	0	1	0.0	1	2	50.0	2	2	4	0	2	1	0	2	-5	16.8
316	Draymond Green	GSW	GSW vs. SAC	10/23/2022	W	28	7	3	4	75.0	0	0	-	1	2	50.0	1	3	4	4	0	0	2	2	17	15.8
317	Harrison Barnes	SAC	SAC @ GSW	10/23/2022	L	21	4	1	1	100	0	0	-	2	4	50.0	0	2	2	0	1	0	2	1	-18	7.4
318	Stephen Curry	GSW	GSW vs. SAC	10/23/2022	W	31	33	11	22	50.0	7	12	58.3	4	4	100	0	5	5	2	1	0	2	3	19	43.0
319	Isaiah Joe	OKC	OKC vs. MIN	10/23/2022	L	6	2	1	3	33.3	0	2	0.0	0	0	-	0	1	1	3	1	0	0	0	10	10.7
320	Lindy Waters III	OKC	OKC vs. MIN	10/23/2022	L	14	3	1	6	16.7	1	6	16.7	0	0	-	1	0	1	0	0	0	0	0	3	4.2
321	Tre Mann	OKC	OKC vs. MIN	10/23/2022	L	28	10	5	12	41.7	0	6	0.0	0	1	0.0	2	1	3	3	1	0	2	3	-3	19.1
322	Jaylin Williams	OKC	OKC vs. MIN	10/23/2022	L	8	4	2	4	50.0	0	0	-	0	1	0.0	3	3	6	2	0	0	0	2	13	14.2
323	Ousmane Dieng	OKC	OKC vs. MIN	10/23/2022	L	23	5	2	6	33.3	1	3	33.3	0	0	-	1	5	6	3	1	2	1	2	15	24.7
324	Taurean Prince	MIN	MIN @ OKC	10/23/2022	W	23	11	4	8	50.0	3	5	60.0	0	0	-	1	2	3	3	0	0	1	1	18	18.1
325	Jordan McLaughlin	MIN	MIN @ OKC	10/23/2022	W	21	0	0	2	0.0	0	1	0.0	0	0	-	2	1	3	4	0	0	0	0	23	9.6
326	Wendell Moore Jr.	MIN	MIN @ OKC	10/23/2022	W	2	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	1	0	-12	-1.0
327	Eugene Omoruyi	OKC	OKC vs. MIN	10/23/2022	L	12	13	5	7	71.4	1	2	50.0	2	3	66.7	1	2	3	1	0	0	0	2	5	18.1
328	Aaron Wiggins	OKC	OKC vs. MIN	10/23/2022	L	25	5	1	3	33.3	0	2	0.0	3	4	75.0	0	2	2	1	0	1	0	0	-7	11.9
329	Aleksej Pokusevski	OKC	OKC vs. MIN	10/23/2022	L	13	2	1	6	16.7	0	2	0.0	0	0	-	1	1	2	0	0	0	1	0	-22	3.4
330	Jaylen Nowell	MIN	MIN @ OKC	10/23/2022	W	24	14	5	16	31.3	1	6	16.7	3	4	75.0	1	5	6	1	2	0	1	0	4	27.7
331	Luguentz Dort	OKC	OKC vs. MIN	10/23/2022	L	30	20	6	15	40.0	2	7	28.6	6	6	100	1	2	3	2	2	0	2	1	-29	30.6
332	Nathan Knight	MIN	MIN @ OKC	10/23/2022	W	2	0	0	0	-	0	0	-	0	0	-	0	2	2	0	0	0	0	1	-12	2.4
333	Naz Reid	MIN	MIN @ OKC	10/23/2022	W	13	14	5	7	71.4	2	4	50.0	2	4	50.0	1	1	2	1	0	1	0	4	2	20.9
334	Josh Giddey	OKC	OKC vs. MIN	10/23/2022	L	22	10	5	11	45.5	0	2	0.0	0	0	-	0	2	2	5	0	0	4	2	-15	15.9
335	Jeremiah Robinson-Earl	OKC	OKC vs. MIN	10/23/2022	L	26	15	5	6	83.3	3	4	75.0	2	2	100	0	2	2	3	1	0	0	2	-9	24.9
336	D'Angelo Russell	MIN	MIN @ OKC	10/23/2022	W	26	6	2	5	40.0	0	2	0.0	2	2	100	1	2	3	6	1	0	3	0	0	18.6
337	Anthony Edwards	MIN	MIN @ OKC	10/23/2022	W	34	30	13	19	68.4	3	7	42.9	1	3	33.3	2	9	11	3	1	0	4	4	22	46.7
338	Mike Muscala	OKC	OKC vs. MIN	10/23/2022	L	11	11	4	6	66.7	1	3	33.3	2	2	100	1	8	9	0	0	1	0	1	10	24.8
339	Rudy Gobert	MIN	MIN @ OKC	10/23/2022	W	25	15	7	9	77.8	0	1	0.0	1	3	33.3	2	13	15	1	0	1	1	2	-1	36.5
340	Karl-Anthony Towns	MIN	MIN @ OKC	10/23/2022	W	30	15	5	9	55.6	1	3	33.3	4	4	100	1	7	8	5	1	0	3	2	14	32.1
341	Bryn Forbes	MIN	MIN @ OKC	10/23/2022	W	12	0	0	3	0.0	0	2	0.0	0	0	-	0	0	0	0	0	0	0	0	-13	0.0
342	Kenrich Williams	OKC	OKC vs. MIN	10/23/2022	L	18	6	3	8	37.5	0	2	0.0	0	2	0.0	0	2	2	1	1	0	1	0	-9	11.9
343	Darius Bazley	OKC	OKC vs. MIN	10/23/2022	L	4	0	0	1	0.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-12	0.0
344	Jaden McDaniels	MIN	MIN @ OKC	10/23/2022	W	27	11	5	9	55.6	0	2	0.0	1	2	50.0	1	0	1	0	4	1	1	3	5	26.2
345	Anthony Gill	WAS	WAS @ CLE	10/23/2022	L	10	2	1	3	33.3	0	2	0.0	0	0	-	0	2	2	0	0	0	0	1	-9	4.4
346	Isaac Okoro	CLE	CLE vs. WAS	10/23/2022	W	20	2	1	4	25.0	0	2	0.0	0	0	-	0	2	2	0	1	0	0	2	-5	7.4
347	Bradley Beal	WAS	WAS @ CLE	10/23/2022	L	42	27	11	16	68.8	0	1	0.0	5	7	71.4	1	3	4	5	2	0	6	3	-5	39.3
348	Will Barton	WAS	WAS @ CLE	10/23/2022	L	35	9	4	11	36.4	1	3	33.3	0	0	-	0	4	4	2	2	0	5	2	-7	17.8
349	Kristaps Porzingis	WAS	WAS @ CLE	10/23/2022	L	38	18	7	16	43.8	4	8	50.0	0	1	0.0	1	10	11	3	1	1	2	3	1	39.7
350	Delon Wright	WAS	WAS @ CLE	10/23/2022	L	27	7	2	5	40.0	1	3	33.3	2	3	66.7	0	2	2	5	2	0	1	0	-16	21.9
351	Cedi Osman	CLE	CLE vs. WAS	10/23/2022	W	32	16	6	10	60.0	3	5	60.0	1	1	100	0	0	0	3	1	0	0	3	3	23.5
352	Caris LeVert	CLE	CLE vs. WAS	10/23/2022	W	36	10	4	14	28.6	2	6	33.3	0	0	-	0	3	3	4	2	0	2	4	15	23.6
353	Donovan Mitchell	CLE	CLE vs. WAS	10/23/2022	W	45	37	12	29	41.4	5	12	41.7	8	9	88.9	2	3	5	4	3	1	6	2	4	55.0
354	Jarrett Allen	CLE	CLE vs. WAS	10/23/2022	W	38	15	6	13	46.2	0	0	-	3	4	75.0	6	8	14	3	0	2	0	2	-1	42.3
355	Kyle Kuzma	WAS	WAS @ CLE	10/23/2022	L	37	11	4	8	50.0	1	2	50.0	2	4	50.0	0	2	2	3	0	2	0	4	-5	23.9
356	Evan Mobley	CLE	CLE vs. WAS	10/23/2022	W	37	10	2	7	28.6	0	0	-	6	6	100	2	5	7	2	2	1	2	3	-3	28.4
357	Robin Lopez	CLE	CLE vs. WAS	10/23/2022	W	15	6	3	4	75.0	0	0	-	0	0	-	4	2	6	1	0	0	2	2	8	12.7
358	Kevin Love	CLE	CLE vs. WAS	10/23/2022	W	14	5	2	6	33.3	1	4	25.0	0	0	-	0	7	7	0	0	0	1	1	2	12.4
359	Raul Neto	CLE	CLE vs. WAS	10/23/2022	W	8	4	2	5	40.0	0	1	0.0	0	0	-	1	0	1	0	1	0	0	0	8	8.2
360	Monte Morris	WAS	WAS @ CLE	10/23/2022	L	27	13	5	8	62.5	3	3	100	0	0	-	0	3	3	6	0	0	1	3	6	24.6
361	Rui Hachimura	WAS	WAS @ CLE	10/23/2022	L	20	16	7	12	58.3	2	3	66.7	0	0	-	1	2	3	1	0	0	1	1	-5	20.1
362	Deni Avdija	WAS	WAS @ CLE	10/23/2022	L	14	2	1	6	16.7	0	3	0.0	0	0	-	0	2	2	0	2	0	1	4	1	9.4
363	Dean Wade	CLE	CLE vs. WAS	10/23/2022	W	21	12	3	4	75.0	2	3	66.7	4	5	80.0	1	2	3	2	0	1	0	1	19	21.6
364	Daniel Gafford	WAS	WAS @ CLE	10/23/2022	L	15	2	1	2	50.0	0	0	-	0	0	-	1	1	2	0	0	1	1	2	-11	6.4
365	CJ McCollum	NOP	NOP vs. UTA	10/23/2022	L	41	28	12	25	48.0	2	8	25.0	2	2	100	0	4	4	12	1	0	2	2	6	51.8
366	Jonas Valanciunas	NOP	NOP vs. UTA	10/23/2022	L	24	6	2	11	18.2	0	1	0.0	2	2	100	8	1	9	3	1	0	1	3	-10	23.3
367	Mike Conley	UTA	UTA @ NOP	10/23/2022	W	36	7	3	12	25.0	1	6	16.7	0	0	-	0	2	2	8	0	1	1	1	-10	23.4
368	Rudy Gay	UTA	UTA @ NOP	10/23/2022	W	16	5	2	5	40.0	1	3	33.3	0	0	-	2	2	4	2	2	0	2	3	9	16.8
369	Larry Nance Jr.	NOP	NOP vs. UTA	10/23/2022	L	29	10	5	10	50.0	0	2	0.0	0	0	-	2	5	7	6	0	0	0	0	6	27.4
370	Simone Fontecchio	UTA	UTA @ NOP	10/23/2022	W	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0.0
371	Walker Kessler	UTA	UTA @ NOP	10/23/2022	W	22	7	3	6	50.0	0	0	-	1	2	50.0	6	3	9	2	0	2	0	2	9	26.8
372	Naji Marshall	NOP	NOP vs. UTA	10/23/2022	L	14	7	2	6	33.3	0	2	0.0	3	4	75.0	0	1	1	0	2	1	0	1	-7	17.2
373	Talen Horton-Tucker	UTA	UTA @ NOP	10/23/2022	W	9	7	3	5	60.0	1	2	50.0	0	0	-	0	3	3	0	1	0	2	0	-8	11.6
374	Jaxson Hayes	NOP	NOP vs. UTA	10/23/2022	L	3	0	0	1	0.0	0	1	0.0	0	0	-	0	0	0	0	0	0	0	1	-8	0.0
375	Collin Sexton	UTA	UTA @ NOP	10/23/2022	W	19	8	2	10	20.0	1	3	33.3	3	4	75.0	3	2	5	1	2	0	2	1	11	19.5
376	Brandon Ingram	NOP	NOP vs. UTA	10/23/2022	L	11	10	4	5	80.0	1	2	50.0	1	2	50.0	0	1	1	0	1	0	1	0	0	13.2
377	Kelly Olynyk	UTA	UTA @ NOP	10/23/2022	W	37	20	7	12	58.3	2	3	66.7	4	5	80.0	1	2	3	5	1	0	1	4	-5	33.1
378	Jordan Clarkson	UTA	UTA @ NOP	10/23/2022	W	37	18	7	19	36.8	3	10	30.0	1	2	50.0	0	1	1	6	0	1	3	0	7	28.2
379	Malik Beasley	UTA	UTA @ NOP	10/23/2022	W	21	4	2	5	40.0	0	2	0.0	0	1	0.0	0	1	1	2	1	0	2	1	5	9.2
380	Devonte' Graham	NOP	NOP vs. UTA	10/23/2022	L	15	3	1	2	50.0	1	1	100	0	0	-	0	1	1	2	1	1	1	1	-2	12.2
381	Zion Williamson	NOP	NOP vs. UTA	10/23/2022	L	30	25	10	16	62.5	0	0	-	5	6	83.3	2	4	6	1	1	2	4	3	-7	38.7
382	Trey Murphy III	NOP	NOP vs. UTA	10/23/2022	L	40	16	6	11	54.5	3	4	75.0	1	1	100	1	8	9	1	0	0	2	4	11	26.3
383	Lauri Markkanen	UTA	UTA @ NOP	10/23/2022	W	39	31	9	17	52.9	2	6	33.3	11	11	100	3	9	12	2	2	1	2	3	6	55.4
384	Jose Alvarado	NOP	NOP vs. UTA	10/23/2022	L	24	7	3	6	50.0	1	3	33.3	0	0	-	0	3	3	4	1	1	3	1	-5	19.6
385	Herbert Jones	NOP	NOP vs. UTA	10/23/2022	L	35	9	3	9	33.3	0	3	0.0	3	5	60.0	1	3	4	1	0	1	3	6	-4	15.3
386	Jarred Vanderbilt	UTA	UTA @ NOP	10/23/2022	W	28	15	5	7	71.4	2	3	66.7	3	3	100	0	4	4	1	4	1	1	5	-4	35.3
387	De'Andre Hunter	ATL	ATL vs. CHA	10/23/2022	L	31	10	4	11	36.4	1	5	20.0	1	2	50.0	2	3	5	4	1	0	1	3	-2	24.0
388	Dejounte Murray	ATL	ATL vs. CHA	10/23/2022	L	39	19	7	15	46.7	2	4	50.0	3	3	100	1	7	8	5	1	1	4	2	-11	38.1
389	Mark Williams	CHA	CHA @ ATL	10/23/2022	W	1	2	1	2	50.0	0	0	-	0	0	-	2	1	3	0	0	0	0	0	-1	5.6
390	Vit Krejci	ATL	ATL vs. CHA	10/23/2022	L	2	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	0	0	1	1.5
391	Gordon Hayward	CHA	CHA @ ATL	10/23/2022	W	31	12	4	10	40.0	1	4	25.0	3	5	60.0	0	3	3	5	1	0	4	0	0	22.1
392	Kelly Oubre Jr.	CHA	CHA @ ATL	10/23/2022	W	33	24	9	20	45.0	3	6	50.0	3	3	100	2	8	10	0	1	0	1	3	12	38.0
393	Nick Richards	CHA	CHA @ ATL	10/23/2022	W	20	20	9	9	100	0	0	-	2	3	66.7	5	6	11	1	0	2	0	1	25	40.7
394	AJ Griffin	ATL	ATL vs. CHA	10/23/2022	L	6	8	3	4	75.0	2	3	66.7	0	0	-	0	0	0	0	2	0	0	0	6	14.0
395	P.J. Washington	CHA	CHA @ ATL	10/23/2022	W	22	12	4	8	50.0	2	4	50.0	2	2	100	1	2	3	1	0	0	2	4	0	15.1
396	JT Thor	CHA	CHA @ ATL	10/23/2022	W	16	5	2	4	50.0	1	3	33.3	0	0	-	1	5	6	0	0	1	1	2	12	14.2
397	James Bouknight	CHA	CHA @ ATL	10/23/2022	W	18	10	3	9	33.3	2	4	50.0	2	2	100	0	1	1	2	1	0	0	4	20	17.2
398	Trent Forrest	ATL	ATL vs. CHA	10/23/2022	L	2	0	0	0	-	0	0	-	0	0	-	0	0	0	1	0	0	0	0	1	1.5
399	Theo Maledon	CHA	CHA @ ATL	10/23/2022	W	15	4	1	1	100	0	0	-	2	3	66.7	0	0	0	4	1	0	0	1	8	13.0
400	Trae Young	ATL	ATL vs. CHA	10/23/2022	L	33	28	9	25	36.0	2	8	25.0	8	9	88.9	2	3	5	9	0	0	1	4	-6	46.5
401	Aaron Holiday	ATL	ATL vs. CHA	10/23/2022	L	14	2	0	4	0.0	0	2	0.0	2	2	100	0	0	0	0	1	0	1	1	-22	4.0
402	Clint Capela	ATL	ATL vs. CHA	10/23/2022	L	23	14	6	8	75.0	0	0	-	2	2	100	5	5	10	1	1	1	1	4	-19	32.5
403	Jalen Johnson	ATL	ATL vs. CHA	10/23/2022	L	10	3	1	2	50.0	0	1	0.0	1	2	50.0	1	1	2	0	0	0	1	0	-6	4.4
404	Bryce McGowens	CHA	CHA @ ATL	10/23/2022	W	3	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5	2.0
405	Tyrese Martin	ATL	ATL vs. CHA	10/23/2022	L	2	2	1	1	100	0	0	-	0	0	-	0	0	0	0	0	0	0	0	1	2.0
406	Justin Holiday	ATL	ATL vs. CHA	10/23/2022	L	17	3	1	7	14.3	1	5	20.0	0	0	-	0	0	0	0	0	1	0	1	-18	6.0
407	Dennis Smith Jr.	CHA	CHA @ ATL	10/23/2022	W	34	18	8	16	50.0	1	2	50.0	1	1	100	1	1	2	6	3	1	2	3	9	39.4
408	John Collins	ATL	ATL vs. CHA	10/23/2022	L	38	10	3	12	25.0	0	7	0.0	4	4	100	2	8	10	1	1	4	1	2	-11	37.5
409	Jalen McDaniels	CHA	CHA @ ATL	10/23/2022	W	20	9	3	6	50.0	1	3	33.3	2	2	100	1	4	5	3	0	1	1	3	13	21.5
410	Onyeka Okongwu	ATL	ATL vs. CHA	10/23/2022	L	23	10	4	6	66.7	0	0	-	2	4	50.0	3	2	5	1	1	2	2	4	1	24.5
411	Mason Plumlee	CHA	CHA @ ATL	10/23/2022	W	26	8	2	4	50.0	0	0	-	4	9	44.4	1	7	8	6	0	1	2	2	-7	27.6
412	Kai Jones	CHA	CHA @ ATL	10/23/2022	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-1	0.0
413	Drew Eubanks	POR	POR @ LAL	10/23/2022	W	13	4	0	1	0.0	0	0	-	4	6	66.7	2	1	3	0	0	1	0	0	-3	10.6
414	Lonnie Walker IV	LAL	LAL vs. POR	10/23/2022	L	32	15	7	13	53.8	1	5	20.0	0	1	0.0	2	2	4	1	1	1	2	3	5	25.3
415	Anfernee Simons	POR	POR @ LAL	10/23/2022	W	36	12	5	17	29.4	0	6	0.0	2	2	100	0	1	1	2	1	0	5	5	2	14.2
416	Josh Hart	POR	POR @ LAL	10/23/2022	W	36	9	3	5	60.0	1	1	100	2	2	100	2	14	16	5	2	0	3	2	-4	38.7
417	Damian Jones	LAL	LAL vs. POR	10/23/2022	L	6	4	2	4	50.0	0	0	-	0	0	-	1	1	2	0	0	0	0	2	-5	6.4
418	Jusuf Nurkic	POR	POR @ LAL	10/23/2022	W	30	6	2	5	40.0	0	0	-	2	2	100	3	10	13	4	0	1	2	3	3	28.6
419	Damian Lillard	POR	POR @ LAL	10/23/2022	W	34	41	15	25	60.0	6	13	46.2	5	7	71.4	1	4	5	2	0	1	6	3	2	47.0
420	Anthony Davis	LAL	LAL vs. POR	10/23/2022	L	36	22	9	17	52.9	0	3	0.0	4	4	100	5	5	10	3	2	6	1	5	3	61.5
421	Patrick Beverley	LAL	LAL vs. POR	10/23/2022	L	30	7	1	3	33.3	1	3	33.3	4	4	100	1	3	4	5	1	0	2	3	7	20.3
422	Russell Westbrook	LAL	LAL vs. POR	10/23/2022	L	28	10	4	15	26.7	0	3	0.0	2	3	66.7	0	6	6	6	0	0	0	1	-4	26.2
423	Austin Reaves	LAL	LAL vs. POR	10/23/2022	L	19	7	2	5	40.0	2	4	50.0	1	1	100	0	0	0	1	1	0	2	1	-6	9.5
424	Shaedon Sharpe	POR	POR @ LAL	10/23/2022	W	16	4	2	6	33.3	0	1	0.0	0	0	-	3	1	4	1	1	1	1	2	8	15.3
425	LeBron James	LAL	LAL vs. POR	10/23/2022	L	38	31	12	22	54.5	2	9	22.2	5	7	71.4	1	7	8	8	2	2	4	3	2	60.6
426	Jerami Grant	POR	POR @ LAL	10/23/2022	W	35	16	5	11	45.5	2	3	66.7	4	4	100	0	2	2	1	0	0	1	3	0	18.9
427	Justise Winslow	POR	POR @ LAL	10/23/2022	W	25	7	2	8	25.0	0	0	-	3	4	75.0	2	3	5	3	2	1	1	2	2	25.5
428	Troy Brown Jr.	LAL	LAL vs. POR	10/23/2022	L	22	4	2	7	28.6	0	2	0.0	0	0	-	0	4	4	1	1	0	0	2	0	13.3
429	Kendrick Nunn	LAL	LAL vs. POR	10/23/2022	L	10	0	0	3	0.0	0	3	0.0	0	0	-	0	0	0	1	0	0	2	3	-7	-0.5
430	Juan Toscano-Anderson	LAL	LAL vs. POR	10/23/2022	L	20	4	2	3	66.7	0	1	0.0	0	0	-	0	2	2	0	1	0	0	1	-5	9.4
431	Nassir Little	POR	POR @ LAL	10/23/2022	W	14	7	3	6	50.0	1	3	33.3	0	0	-	0	3	3	1	0	0	0	0	0	12.1
432	KZ Okpala	SAC	SAC vs. LAC	10/22/2022	L	18	3	1	3	33.3	1	2	50.0	0	0	-	1	2	3	1	0	0	0	1	2	8.1
433	Nicolas Batum	LAC	LAC @ SAC	10/22/2022	W	28	7	3	3	100	1	1	100	0	0	-	1	4	5	3	2	1	1	5	-3	25.5
434	Paul George	LAC	LAC @ SAC	10/22/2022	W	39	40	16	31	51.6	3	10	30.0	5	5	100	2	4	6	6	2	1	4	2	-4	61.2
435	Marcus Morris Sr.	LAC	LAC @ SAC	10/22/2022	W	21	9	4	7	57.1	1	1	100	0	0	-	0	5	5	2	1	0	0	5	2	21.0
436	Richaun Holmes	SAC	SAC vs. LAC	10/22/2022	L	13	2	1	2	50.0	0	0	-	0	0	-	2	1	3	0	0	0	0	2	-6	5.6
437	Norman Powell	LAC	LAC @ SAC	10/22/2022	W	32	4	1	10	10.0	0	2	0.0	2	2	100	0	3	3	4	0	0	2	0	-1	11.6
438	Ivica Zubac	LAC	LAC @ SAC	10/22/2022	W	24	10	4	7	57.1	0	0	-	2	2	100	1	7	8	1	0	1	1	3	4	23.1
439	Malik Monk	SAC	SAC vs. LAC	10/22/2022	L	13	0	0	4	0.0	0	2	0.0	0	1	0.0	0	2	2	1	1	0	2	1	-13	4.9
