	PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
15	JaMychal Green	GSW	GSW @ PHX	10/25/2022		9	0	0	1	0.0	0	1	0.0	0	0	-	0	2	2	0	1	0	1	0	-1	4.4
16	Landry Shamet	PHX	PHX vs. GSW	10/25/2022		7	2	1	2	50.0	0	0	-	0	0	-	0	0	0	1	0	0	1	1	3	2.5
17	Torrey Craig	PHX	PHX vs. GSW	10/25/2022		6	6	2	3	66.7	2	3	66.7	0	0	-	0	1	1	0	0	0	0	0	1	7.2
18	Ty Jerome	GSW	GSW @ PHX	10/25/2022		3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-3	0.0
19	Cameron Payne	PHX	PHX vs. GSW	10/25/2022		4	6	2	3	66.7	0	0	-	2	2	100	0	2	2	2	0	0	0	1	1	11.4
20	Luguentz Dort	OKC	OKC vs. LAC	10/25/2022	W	26	4	1	11	9.1	0	6	0.0	2	2	100	0	2	2	0	0	0	0	2	25	6.4
21	Aleksej Pokusevski	OKC	OKC vs. LAC	10/25/2022	W	17	6	2	7	28.6	0	3	0.0	2	6	33.3	0	4	4	2	1	0	0	2	-7	16.8
22	Isaiah Joe	OKC	OKC vs. LAC	10/25/2022	W	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0	0.0
23	Brandon Boston	LAC	LAC @ OKC	10/25/2022	L	3	6	3	4	75.0	0	0	-	0	0	-	0	0	0	0	0	0	0	0	2	6.0
24	Kenrich Williams	OKC	OKC vs. LAC	10/25/2022	W	25	10	5	8	62.5	0	2	0.0	0	0	-	4	3	7	2	0	1	0	2	-9	24.4
25	Amir Coffey	LAC	LAC @ OKC	10/25/2022	L	26	8	1	5	20.0	0	1	0.0	6	6	100	0	2	2	2	0	1	0	2	13	16.4
26	Jeremiah Robinson-Earl	OKC	OKC vs. LAC	10/25/2022	W	23	2	0	7	0.0	0	3	0.0	2	2	100	3	6	9	0	3	1	0	1	8	24.8
27	Ousmane Dieng	OKC	OKC vs. LAC	10/25/2022	W	10	2	1	4	25.0	0	3	0.0	0	0	-	0	1	1	1	0	0	0	0	-9	4.7
28	Aaron Wiggins	OKC	OKC vs. LAC	10/25/2022	W	28	11	5	14	35.7	0	1	0.0	1	1	100	3	7	10	0	3	1	1	2	18	34.0
29	Tre Mann	OKC	OKC vs. LAC	10/25/2022	W	36	25	10	24	41.7	2	8	25.0	3	3	100	2	2	4	4	2	0	1	0	14	40.8
30	Moses Brown	LAC	LAC @ OKC	10/25/2022	L	3	0	0	1	0.0	0	0	-	0	0	-	0	2	2	0	0	1	0	0	2	5.4
31	Nicolas Batum	LAC	LAC @ OKC	10/25/2022	L	18	8	2	4	50.0	2	3	66.7	2	2	100	1	3	4	1	0	1	0	2	-19	17.3
32	John Wall	LAC	LAC @ OKC	10/25/2022	L	20	12	4	9	44.4	1	3	33.3	3	4	75.0	1	2	3	4	2	0	4	2	2	23.6
33	Reggie Jackson	LAC	LAC @ OKC	10/25/2022	L	30	9	4	17	23.5	1	6	16.7	0	0	-	0	3	3	6	0	0	3	2	-19	18.6
34	Mike Muscala	OKC	OKC vs. LAC	10/25/2022	W	18	8	4	5	80.0	0	0	-	0	0	-	5	5	10	2	0	1	0	2	8	26.0
35	Robert Covington	LAC	LAC @ OKC	10/25/2022	L	21	10	4	6	66.7	2	4	50.0	0	0	-	0	4	4	2	1	3	1	4	-2	28.8
36	Norman Powell	LAC	LAC @ OKC	10/25/2022	L	30	7	3	10	30.0	0	5	0.0	1	2	50.0	0	2	2	2	0	0	4	2	-20	8.4
37	Ivica Zubac	LAC	LAC @ OKC	10/25/2022	L	35	10	5	9	55.6	0	1	0.0	0	0	-	4	10	14	2	0	7	1	2	-17	49.8
38	Luke Kennard	LAC	LAC @ OKC	10/25/2022	L	29	15	6	13	46.2	3	7	42.9	0	0	-	0	4	4	2	1	0	1	1	2	24.8
39	Shai Gilgeous-Alexander	OKC	OKC vs. LAC	10/25/2022	W	37	33	11	22	50.0	2	2	100	9	9	100	1	4	5	8	3	3	2	0	23	67.0
40	Terance Mann	LAC	LAC @ OKC	10/25/2022	L	26	9	3	5	60.0	1	1	100	2	4	50.0	1	8	9	0	1	1	4	1	-14	21.8
41	Darius Bazley	OKC	OKC vs. LAC	10/25/2022	W	19	7	3	8	37.5	0	2	0.0	1	2	50.0	3	5	8	0	0	1	1	2	-1	18.6
42	Luka Doncic	DAL	DAL @ NOP	10/25/2022	L	36	37	16	30	53.3	2	13	15.4	3	5	60.0	3	8	11	7	2	1	3	3	6	66.7
43	Dyson Daniels	NOP	NOP vs. DAL	10/25/2022	W	22	11	4	5	80.0	1	1	100	2	2	100	1	2	3	2	3	1	1	3	-16	28.6
44	Jose Alvarado	NOP	NOP vs. DAL	10/25/2022	W	26	13	6	8	75.0	1	3	33.3	0	0	-	0	3	3	3	2	0	2	1	15	25.1
45	Trey Murphy III	NOP	NOP vs. DAL	10/25/2022	W	36	22	8	8	100	4	4	100	2	2	100	1	4	5	1	1	0	2	3	1	30.5
46	Facundo Campazzo	DAL	DAL @ NOP	10/25/2022	L	13	3	1	4	25.0	1	3	33.3	0	0	-	0	0	0	2	2	0	0	0	3	12.0
47	Naji Marshall	NOP	NOP vs. DAL	10/25/2022	W	33	15	6	9	66.7	0	2	0.0	3	4	75.0	2	1	3	1	0	0	3	3	14	17.1
48	Josh Green	DAL	DAL @ NOP	10/25/2022	L	14	2	1	2	50.0	0	1	0.0	0	0	-	0	2	2	0	0	0	0	1	5	4.4
49	Jaxson Hayes	NOP	NOP vs. DAL	10/25/2022	W	13	0	0	1	0.0	0	1	0.0	0	2	0.0	0	2	2	1	0	0	1	1	-3	2.9
50	Devonte' Graham	NOP	NOP vs. DAL	10/25/2022	W	27	14	4	10	40.0	4	8	50.0	2	4	50.0	0	1	1	3	0	0	0	2	-5	19.7
