	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
9	Jaylen Brown	BOS	BOS @ MEM	08/11/2020	W	28	7	3	13	23.1	1	8	12.5	0	2	0.0	0	4	4	2	1	1	1	4	16	19.8
10	Kemba Walker	BOS	BOS @ MEM	08/11/2020	W	28	19	7	10	70.0	2	5	40.0	3	3	100	1	3	4	3	1	0	1	3	-1	30.3
11	Anthony Tolliver	MEM	MEM vs. BOS	08/11/2020	L	13	0	0	2	0.0	0	2	0.0	0	0	-	1	0	1	1	0	0	0	0	-4	2.7
12	Grayson Allen	MEM	MEM vs. BOS	08/11/2020	L	29	12	5	14	35.7	2	9	22.2	0	0	-	2	3	5	2	1	0	1	1	-12	23.0
13	Giannis Antetokounmpo	MIL	MIL @ WAS	08/11/2020	W	10	12	1	3	33.3	0	0	-	10	12	83.3	2	7	9	1	1	0	3	2	12	24.3
14	Jerian Grant	WAS	WAS vs. MIL	08/11/2020	L	4	0	0	3	0.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	0	3	1.2
15	Johnathan Williams	WAS	WAS vs. MIL	08/11/2020	L	3	1	0	0	-	0	0	-	1	2	50.0	1	1	2	0	0	0	0	1	3	3.4
16	Ersan Ilyasova	MIL	MIL @ WAS	08/11/2020	W	22	3	1	6	16.7	1	5	20.0	0	0	-	1	3	4	0	0	0	0	2	6	7.8
17	Thomas Bryant	WAS	WAS vs. MIL	08/11/2020	L	26	13	5	9	55.6	2	3	66.7	1	1	100	3	5	8	1	0	1	1	1	-14	26.1
18	Jarrod Uthoff	WAS	WAS vs. MIL	08/11/2020	L	3	3	1	1	100	1	1	100	0	0	-	0	0	0	0	0	0	0	0	3	3.0
19	Robin Lopez	MIL	MIL @ WAS	08/11/2020	W	21	8	3	6	50.0	1	1	100	1	2	50.0	1	3	4	1	0	0	2	3	2	12.3
20	Jerome Robinson	WAS	WAS vs. MIL	08/11/2020	L	33	15	4	11	36.4	2	6	33.3	5	7	71.4	0	4	4	7	0	0	1	1	0	29.3
21	George Hill	MIL	MIL @ WAS	08/11/2020	W	23	5	2	8	25.0	1	4	25.0	0	0	-	0	2	2	6	1	0	1	2	17	18.4
22	Brook Lopez	MIL	MIL @ WAS	08/11/2020	W	23	24	9	11	81.8	5	5	100	1	1	100	1	2	3	0	0	0	2	2	14	25.6
23	Moritz Wagner	WAS	WAS vs. MIL	08/11/2020	L	20	6	1	3	33.3	0	2	0.0	4	4	100	0	3	3	2	0	0	0	1	-6	12.6
24	Frank Mason III	MIL	MIL @ WAS	08/11/2020	W	22	19	7	10	70.0	1	2	50.0	4	7	57.1	0	5	5	6	2	0	1	3	0	39.0
25	Troy Brown Jr.	WAS	WAS vs. MIL	08/11/2020	L	30	9	3	15	20.0	1	4	25.0	2	2	100	1	5	6	3	0	0	1	2	-17	19.7
26	Thanasis Antetokounmpo	MIL	MIL @ WAS	08/11/2020	W	18	8	4	8	50.0	0	1	0.0	0	0	-	1	3	4	4	0	0	0	1	-4	18.8
27	Rui Hachimura	WAS	WAS vs. MIL	08/11/2020	L	29	20	6	18	33.3	3	9	33.3	5	6	83.3	2	3	5	1	0	0	2	4	-14	25.5
28	Pat Connaughton	MIL	MIL @ WAS	08/11/2020	W	24	10	3	7	42.9	2	4	50.0	2	2	100	1	7	8	3	1	0	0	0	14	27.1
29	Ish Smith	WAS	WAS vs. MIL	08/11/2020	L	26	19	8	15	53.3	1	2	50.0	2	2	100	0	3	3	5	0	0	2	3	-7	28.1
30	Kyle Korver	MIL	MIL @ WAS	08/11/2020	W	25	3	1	6	16.7	1	5	20.0	0	0	-	1	6	7	2	0	0	0	2	13	14.4
31	D.J. Wilson	MIL	MIL @ WAS	08/11/2020	W	23	11	4	6	66.7	1	3	33.3	2	4	50.0	0	5	5	0	0	0	2	4	-3	15.0
32	Admiral Schofield	WAS	WAS vs. MIL	08/11/2020	L	14	7	2	5	40.0	2	5	40.0	1	2	50.0	0	3	3	0	0	1	0	3	-3	13.6
33	Sterling Brown	MIL	MIL @ WAS	08/11/2020	W	30	23	9	16	56.3	5	8	62.5	0	0	-	1	1	2	2	1	0	3	5	-6	28.4
34	Anzejs Pasecniks	WAS	WAS vs. MIL	08/11/2020	L	21	10	4	9	44.4	0	1	0.0	2	4	50.0	3	3	6	1	1	0	1	4	2	20.7
35	Isaac Bonga	WAS	WAS vs. MIL	08/11/2020	L	30	10	5	6	83.3	0	1	0.0	0	0	-	1	2	3	2	1	1	3	3	-15	19.6
36	Frank Jackson	NOP	NOP @ SAC	08/11/2020	L	25	18	8	11	72.7	1	2	50.0	1	2	50.0	1	0	1	4	1	0	3	1	-2	25.2
37	Nickeil Alexander-Walker	NOP	NOP @ SAC	08/11/2020	L	25	9	3	10	30.0	1	5	20.0	2	2	100	0	0	0	6	2	1	3	2	6	24.0
38	Bogdan Bogdanovic	SAC	SAC vs. NOP	08/11/2020	W	38	16	7	10	70.0	1	2	50.0	1	1	100	2	4	6	7	2	0	4	0	15	35.7
39	Sindarius Thornwell	NOP	NOP @ SAC	08/11/2020	L	16	7	3	5	60.0	1	1	100	0	0	-	0	2	2	3	1	0	0	1	-3	16.9
40	Buddy Hield	SAC	SAC vs. NOP	08/11/2020	W	19	11	4	5	80.0	3	4	75.0	0	0	-	0	2	2	3	0	0	3	2	-9	14.9
